"year","species_name","latin_name","ssb","refbio","f","hr","recruitment","landings"
"1991","Skarkoli","Pleuronectes platessa","22","38","0.486","0.285","24441","11"
"1992","Skarkoli","Pleuronectes platessa","22","37","0.533","0.284","33704","10"
"1993","Skarkoli","Pleuronectes platessa","26","45","0.515","0.266","36941","12"
"1994","Skarkoli","Pleuronectes platessa","23","43","0.495","0.273","19216","12"
"1995","Skarkoli","Pleuronectes platessa","24","41","0.433","0.262","19304","11"
"1996","Skarkoli","Pleuronectes platessa","24","39","0.556","0.287","15587","11"
"1997","Skarkoli","Pleuronectes platessa","21","34","0.568","0.316","12850","11"
"1998","Skarkoli","Pleuronectes platessa","18","29","0.386","0.26","12139","7.428"
"1999","Skarkoli","Pleuronectes platessa","17","27","0.442","0.262","11659","7.142"
"2000","Skarkoli","Pleuronectes platessa","16","24","0.388","0.218","14911","5.252"
"2001","Skarkoli","Pleuronectes platessa","16","25","0.349","0.194","17643","4.923"
"2002","Skarkoli","Pleuronectes platessa","16","28","0.332","0.185","16815","5.139"
"2003","Skarkoli","Pleuronectes platessa","18","30","0.326","0.178","16074","5.258"
"2004","Skarkoli","Pleuronectes platessa","20","33","0.29","0.175","12739","5.706"
"2005","Skarkoli","Pleuronectes platessa","20","32","0.269","0.181","15716","5.802"
"2006","Skarkoli","Pleuronectes platessa","21","34","0.326","0.19","15726","6.363"
"2007","Skarkoli","Pleuronectes platessa","21","33","0.263","0.173","12990","5.794"
"2008","Skarkoli","Pleuronectes platessa","22","34","0.316","0.199","14243","6.693"
"2009","Skarkoli","Pleuronectes platessa","22","34","0.28","0.186","18893","6.31"
"2010","Skarkoli","Pleuronectes platessa","22","36","0.284","0.167","18487","5.963"
"2011","Skarkoli","Pleuronectes platessa","23","37","0.221","0.133","14564","4.914"
"2012","Skarkoli","Pleuronectes platessa","26","41","0.241","0.145","16300","5.883"
"2013","Skarkoli","Pleuronectes platessa","28","43","0.218","0.139","16422","5.972"
"2014","Skarkoli","Pleuronectes platessa","28","43","0.204","0.137","16270","5.923"
"2015","Skarkoli","Pleuronectes platessa","32","48","0.195","0.142","14049","6.739"
"2016","Skarkoli","Pleuronectes platessa","32","47","0.229","0.158","13050","7.451"
"2017","Skarkoli","Pleuronectes platessa","31","44","0.214","0.15","16129","6.67"
"2018","Skarkoli","Pleuronectes platessa","31","45","0.283","0.184","20760","8.318"
"2019","Skarkoli","Pleuronectes platessa","30","47","0.228","0.145","19392","6.817"
"2020","Skarkoli","Pleuronectes platessa","32","50","0.22","0.149","16893","7.506"
"2021","Skarkoli","Pleuronectes platessa","33","51","","-0.02","17704",""